date,description,counterparty,transaction_type,vat_treatment,value_excl_vat,currency,has_valid_tax_invoice,customs_bill_of_entry_ref,adjustment_target,adjustment_reason,vat_amount_override
2025-12-14,Printing services,Mbare Wholesalers (Pvt) Ltd,purchase,standard,1451.38,USD,TRUE,,,,
2025-12-15,Laptops and IT equipment,Kwekwe Manufacturing Ltd,purchase,standard,3846.37,USD,TRUE,,,,
2025-12-17,Cleaning services,Victoria Falls Tourism Group,sale,standard,1129.89,ZWG,,,,,
2025-12-17,Public transport fares,Victoria Falls Tourism Group,sale,exempt,3881.22,USD,,,,,
2025-12-19,Cement,Mutare Border Traders,sale,standard,2820.97,USD,,,,,
2025-12-20,Motor vehicle spares,Highfield Retail Traders,purchase,standard,5146.37,USD,TRUE,,,,
2025-12-20,Industrial machinery from South Africa,Overseas Supplier,import,import,15775.73,USD,,BOE-2025-1000,,,
2025-12-22,Printing services,Mutare Border Traders,purchase,standard,1679.67,USD,FALSE,,,,
2025-12-23,Bad debt written off — 120+ days overdue,Highfield Retail Traders,adjustment,adjustment,0,USD,,,output_tax,bad_debt_written_off,-196.04
2025-12-28,Export of tobacco leaf,Mutare Border Traders,sale,zero_rated,5748.95,USD,,,,,
2025-12-29,Export of tobacco leaf,Gweru Construction Co,sale,zero_rated,3583.08,ZWG,,,,,
2025-12-31,Industrial machinery from South Africa,Overseas Supplier,import,import,3970.03,USD,,,,,
2026-01-01,Laptops and IT equipment,Mbare Wholesalers (Pvt) Ltd,sale,standard,1947.19,USD,,,,,
2026-01-01,Refrigeration equipment from UAE,Overseas Supplier,import,import,19735.74,EUR,,,,,
2026-01-02,Packaging materials for export produce,Masvingo Farmers Co-op,purchase,standard,1318.09,USD,TRUE,,,,
2026-01-10,Cleaning services,Victoria Falls Tourism Group,purchase,standard,677.66,USD,TRUE,,,,
2026-01-12,Paint and hardware,Bulawayo Steel Fabricators,purchase,standard,2497.84,ZWG,TRUE,,,,
2026-01-12,Raw materials from China,Overseas Supplier,import,import,21075.01,ZAR,,BOE-2026-1002,,,
2026-01-14,Paint and hardware,Chinhoyi Agro Supplies,purchase,standard,1222.23,ZWG,TRUE,,,,
2026-01-14,Textbooks and teaching materials,Victoria Falls Tourism Group,purchase,exempt,486.54,USD,TRUE,,,,
2026-01-15,Private-use apportionment on company vehicle fuel,N/A,adjustment,adjustment,0,USD,,,input_tax,apportionment_private_use,-18.39
2026-01-17,Export of horticultural produce,Harare North Logistics,sale,zero_rated,7129.76,USD,,,,,
2026-01-18,Security services,Bulawayo Steel Fabricators,purchase,standard,1743.42,USD,TRUE,,,,
2026-01-20,Paint and hardware,Harare North Logistics,purchase,standard,1384.44,USD,TRUE,,,,
2026-01-21,Rental of residential property,Victoria Falls Tourism Group,sale,exempt,3606.64,USD,,,,,
2026-01-22,Motor vehicle spares,Victoria Falls Tourism Group,sale,standard,6998.6,ZWG,,,,,
2026-01-24,Mealie-meal (10kg bags),Kwekwe Manufacturing Ltd,sale,zero_rated,1485.43,USD,,,,,
2026-01-28,Paint and hardware,Harare North Logistics,sale,standard,3282.09,ZWG,,,,,
2026-01-28,Cement,Kwekwe Manufacturing Ltd,sale,standard,4673.26,USD,,,,,
2026-01-28,Security services,Mbare Wholesalers (Pvt) Ltd,purchase,standard,1071.36,USD,TRUE,,,,
2026-01-28,Packaging materials for export produce,Victoria Falls Tourism Group,purchase,standard,677.36,USD,TRUE,,,,
2026-02-03,Cooking oil,Gweru Construction Co,sale,zero_rated,3960.95,ZWG,,,,,
2026-02-03,Bad debt written off — 120+ days overdue,Bulawayo Steel Fabricators,adjustment,adjustment,0,USD,,,output_tax,bad_debt_written_off,-153.42
2026-02-06,Textbooks and teaching materials,Kwekwe Manufacturing Ltd,purchase,exempt,552.76,USD,TRUE,,,,
2026-02-12,Laptops and IT equipment,Victoria Falls Tourism Group,sale,standard,2018.34,ZWG,,,,,
2026-02-13,Office furniture,Kwekwe Manufacturing Ltd,sale,standard,4498.28,USD,,,,,
2026-02-13,Packaging material from Zambia,Overseas Supplier,import,import,17812.43,USD,,BOE-2026-1000,,,
2026-02-14,Tuition fees,Chinhoyi Agro Supplies,sale,exempt,2036.78,USD,,,,,
2026-02-15,Security services,Mutare Border Traders,sale,standard,3816.14,USD,,,,,
2026-02-19,Motor vehicle spares,Masvingo Farmers Co-op,purchase,standard,1782.97,ZWG,TRUE,,,,
2026-02-21,Mealie-meal (10kg bags),Kwekwe Manufacturing Ltd,sale,zero_rated,4070.12,USD,,,,,
2026-02-26,Cleaning services,Highfield Retail Traders,sale,standard,2096.06,USD,,,,,
2026-03-02,Security services,Chinhoyi Agro Supplies,sale,standard,890.46,ZWG,,,,,
2026-03-06,Milk (fresh),Victoria Falls Tourism Group,sale,zero_rated,2782.77,USD,,,,,
2026-03-06,Raw materials from China,Overseas Supplier,import,import,7775.79,ZAR,,BOE-2026-1001,,,
2026-03-12,Credit note issued for returned goods,Mutare Border Traders,adjustment,adjustment,0,USD,,,output_tax,credit_note_issued,-49.26
2026-03-14,Packaging materials for export produce,Highfield Retail Traders,purchase,standard,331.87,USD,TRUE,,,,
2026-03-16,Office furniture,Gweru Construction Co,purchase,standard,437.28,ZWG,FALSE,,,,
2026-03-20,Tuition fees,Victoria Falls Tourism Group,sale,exempt,1707.08,USD,,,,,
2026-03-21,Mealie-meal (10kg bags),Mutare Border Traders,sale,zero_rated,10031.91,ZWG,,,,,
2026-03-26,Tuition fees,Bulawayo Steel Fabricators,sale,exempt,1542.99,USD,,,,,
2026-03-28,Laptops and IT equipment,Mbare Wholesalers (Pvt) Ltd,sale,standard,3310.58,ZWG,,,,,
